Word/Phrase,Pronunciation,Definition,Bangla meaning,Example Sentence,ai prompt,Collocations,0
enable (v.),ɪˈneɪbl/ ইনেবল/ ih-ney-buhl,Give (someone or something) the authority or means to do something,সক্ষম করা,This software will enable you to work faster.,A glowing green power switch being turned completely on,"enable someone, greatly enable",
"encounter (v.), (n.) ",ɪnˈkaʊntə/ এনকাউন্টার/ in-kown-ter,Unexpectedly experience or be faced with (something difficult or hostile),সম্মুখীন হওয়া / সাক্ষাৎ,We encountered a problem during the trip.,Two hikers suddenly meeting a big bear on a path,"brief encounter, close encounter",
encourage (v.),ɪnˈkʌrɪdʒ/ এনকারেজ/ in-kur-ij,"Give support, confidence, or hope to (someone)",উৎসাহিত করা,My parents always encouraged me to study hard.,A coach patting a runner proudly on the back,"strongly encourage, actively encourage",
encouragement (n.),ɪnˈkʌrɪdʒmənt/ এনকারেজমেন্ট/ in-kur-ij-muhnt,"The action of giving someone support, confidence, or hope",উৎসাহ,Thank you for your encouragement.,A crowd holding signs and cheering wildly for someone,"word of encouragement, offer encouragement",
"end (n.), (v.) ",ɛnd/ এন্ড/ end,"A final part of something, especially a period of time, an activity, or a story",শেষ,We waited until the end of the movie.,"The words ""THE END"" on an old movie screen","at the end, dead end",
ending (n.),ˈɛndɪŋ/ এন্ডিং/ en-ding,"An end or final part of something, especially a story or film",সমাপ্তি,The book has a happy ending.,A closed book with a golden glow emanating from it,"happy ending, sad ending",
enemy (n.),ˈɛnəmi/ এনিমি/ en-uh-mee,A person who is actively opposed or hostile to someone or something,শত্রু,He fought bravely against the enemy.,Two opposing chess kings standing aggressively face to face,"public enemy, common enemy",
energy (n.),ˈɛnədʒi/ এনার্জি/ en-er-jee,The strength and vitality required for sustained physical or mental activity,শক্তি,Running takes a lot of energy.,A glowing blue battery fully charged to the top,"save energy, renewable energy",
engage (v.),ɪnˈɡeɪdʒ/ এনগেজ/ in-geyj,"Occupy, attract, or involve (someone's interest or attention)",জড়িত করা,The puzzle engaged his attention for hours.,Two interlocking silver gears turning smoothly together,"engage with, fully engage",
engaged (adj.),ɪnˈɡeɪdʒd/ এনগেজড/ in-geyjd,Busy; occupied; having formally agreed to marry,ব্যস্ত / বাগদত্ত,They are happily engaged to be married.,A beautiful sparkling diamond ring on a person's finger,"get engaged, deeply engaged",
engine (n.),ˈɛndʒɪn/ ইঞ্জিন/ en-jin,A machine with moving parts that converts power into motion,ইঞ্জিন,The car engine was making a strange noise.,"A complex, heavy metallic car engine gleaming with oil","start the engine, steam engine",
engineer (n.),ˌɛndʒɪˈnɪə/ ইঞ্জিনিয়ার/ en-juh-neer,"A person who designs, builds, or maintains engines, machines, or public works",প্রকৌশলী,He is a mechanical engineer.,A person in a yellow hard hat holding a large rolled blueprint,"civil engineer, software engineer",
engineering (n.),ˌɛndʒɪˈnɪərɪŋ/ ইঞ্জিনিয়ারিং/ en-juh-neer-ing,"The branch of science and technology concerned with the design, building, and use of engines, machines, and structures",প্রকৌশলবিদ্যা,She is studying engineering at university.,A blueprint showing bridges and complex gear designs,"civil engineering, study engineering",
enjoy (v.),ɪnˈdʒɔɪ/ এনজয়/ in-joi,Take delight or pleasure in (an activity or occasion),উপভোগ করা,I really enjoy reading books.,A person relaxing with a huge smile on a beach chair,"enjoy playing, thoroughly enjoy",
enjoyable (adj.),ɪnˈdʒɔɪəbl/ এনজয়েবল/ in-joi-uh-buhl,(Of an activity or occasion) giving delight or pleasure,উপভোগ্য,We had a very enjoyable evening.,"A warm, glowing campfire surrounded by happy friends","highly enjoyable, completely enjoyable",
enjoyment (n.),ɪnˈdʒɔɪmənt/ এনজয়মেন্ট/ in-joi-muhnt,The state or process of taking pleasure in something,আনন্দ,He read the book for pure enjoyment.,A person laughing loudly while eating a huge ice cream,"pure enjoyment, derive enjoyment",
enormous (adj.),ɪˈnɔːməs/ এনরমাস/ ih-nawr-muhs,"Very large in size, quantity, or extent",বিশাল,They live in an enormous house.,A massive towering castle next to a tiny little tree,"enormous size, absolutely enormous",
"enough (det.), (pron.), (adv.) ",ɪˈnʌf/ এনাফ/ ih-nuhf,As much or as many as required,যথেষ্ট,We have enough food for everyone.,A measuring cup completely filled exactly to the brim,"fair enough, more than enough",
enquiry (also inquiry especially in NAmE) (n.),ɪnˈkwaɪəri/ এনকোয়ারি/ in-kwahy-uh-ree,An act of asking for information,অনুসন্ধান / জিজ্ঞাসা,I am making an enquiry about your services.,A polite receptionist talking smoothly on a headset at a desk,"make an enquiry, general enquiry",
ensure (v.),ɪnˈʃʊə/ এনশিওর/ in-shoor,Make certain that (something) shall occur or be the case,নিশ্চিত করা,Please ensure that all doors are locked.,A glowing green lock snapping firmly shut,"ensure safety, ensure success",
enter (v.),ˈɛntə/ এন্টার/ en-ter,Come or go into (a place),প্রবেশ করা,He entered the room quietly.,A dark silhouette walking through a brightly lit doorway,"enter a room, simply enter",
entertain (v.),ˌɛntəˈteɪn/ এন্টারটেইন/ en-ter-teyn,Provide (someone) with amusement or enjoyment,বিনোদন দেওয়া,The clown entertained the children.,A colourful clown juggling shiny red balls,"entertain guests, fully entertain",
entertainer (n.),ˌɛntəˈteɪnə/ এন্টারটেইনার/ en-ter-tey-ner,"A person, such as a singer, dancer, or comedian, whose job is to entertain others",বিনোদনদাতা,He is a famous television entertainer.,A clown juggling colorful balls on a bright stage,"street entertainer, popular entertainer",
entertaining (adj.),ˌɛntəˈteɪnɪŋ/ এন্টারটেইনিং/ en-ter-tey-ning,Providing amusement or enjoyment,মজাদার / বিনোদনমূলক,It was a highly entertaining movie.,An audience laughing heartily in a glowing cinema,"highly entertaining, very entertaining",
entertainment (n.),ˌɛntəˈteɪnmənt/ এন্টারটেইনমেন্ট/ en-ter-teyn-muhnt,The action of providing or being provided with amusement or enjoyment,বিনোদন,The hotel offers live entertainment every night.,A brightly lit theater stage with dancers,"live entertainment, form of entertainment",
enthusiasm (n.),ɪnˈθjuːzɪæzəm/ এনথুজিয়াজম/ in-thoo-zee-az-uhm,"Intense and eager enjoyment, interest, or approval",প্রবল উৎসাহ,She spoke with great enthusiasm.,A person jumping high with pom-poms shining,"great enthusiasm, show enthusiasm",
enthusiastic (adj.),ɪnˌθjuːzɪˈæstɪk/ এনথুজিয়াস্টিক/ in-thoo-zee-as-tik,"Having or showing intense and eager enjoyment, interest, or approval",উৎসাহী,He is very enthusiastic about the new project.,A smiling worker holding up two thumbs in a bright office,"highly enthusiastic, seem enthusiastic",
entire (adj.),ɪnˈtaɪə/ এন্টায়ার/ in-tahy-er,With no part left out; whole,সম্পূর্ণ / গোটা,He ate the entire pizza by himself.,"A massive, full circular pizza completely uncut","entire life, entire world",
entirely (adv.),ɪnˈtaɪəli/ এন্টায়ারলি/ in-tahy-er-lee,Completely (often used for emphasis),সম্পূর্ণরূপে,I entirely agree with you.,A bright green progress bar filled all the way to 100%,"almost entirely, rely entirely",
entitle (v.),ɪnˈtaɪtl/ এনটাইটেল/ in-tahy-tl,Give (someone) a legal right or a just claim to receive or do something,অধিকার দেওয়া / শিরোনাম দেওয়া,This ticket entitles you to a free meal.,"A golden glowing ticket stamped with ""FREE""","legally entitle, entitle to",
entrance (n.),ˈɛntrəns/ এন্ট্রান্স/ en-truhns,"An opening, such as a door, passage, or gate, that allows access to a place",প্রবেশদ্বার,The main entrance is at the front of the building.,"A grand, heavy wooden door with intricate carvings","main entrance, grand entrance",
entry (n.),ˈɛntri/ এন্ট্রি/ en-tree,The act of entering or a way in,প্রবেশ / অন্তর্ভুক্তি,Entry to the museum is free.,A bright turnstile gate with a green arrow pointing in,"free entry, data entry",
envelope (n.),ˈɛnvəloʊp/ এনভেলপ/ en-vuh-lohp,"A flat paper container with a sealable flap, used to enclose a letter or document",খাম,I put the letter in a white envelope.,"A sealed, crisp white envelope with a red wax stamp","sealed envelope, brown envelope",
environment (n.),ɪnˈvaɪərənmənt/ এনভায়রনমেন্ট/ in-vahy-ruhn-muhnt,"The surroundings or conditions in which a person, animal, or plant lives or operates",পরিবেশ,We must protect the natural environment.,A lush green forest with a sparkling clean blue river,"protect the environment, working environment",
environmental (adj.),ɪnˌvaɪərənˈmɛntl/ এনভায়রনমেন্টাল/ in-vahy-ruhn-men-tl,Relating to the natural world and the impact of human activity on its condition,পরিবেশগত,He is an expert on environmental issues.,A pair of hands gently holding a small globe made of green leaves,"environmental impact, environmental protection",
"equal (adj.), (n.), (v.) ",ˈiːkwəl/ ইকুয়াল/ ee-kwuhl,"Being the same in quantity, size, degree, or value",সমান,All men are created equal.,A classic golden scale with both sides perfectly balanced,"equal rights, strictly equal",
equally (adv.),ˈiːkwəli/ ইকুয়ালি/ ee-kwuh-lee,In the same manner or to the same extent,সমানভাবে,The money was divided equally among them.,A pie chart cut exactly down the middle,"treat equally, divide equally",
equipment (n.),ɪˈkwɪpmənt/ ইকুইপমেন্ট/ ih-kwip-muhnt,The necessary items for a particular purpose,সরঞ্জাম / যন্ত্রপাতি,We need some new office equipment.,A neatly arranged set of heavy metal tools and gears,"heavy equipment, medical equipment",
"equivalent (adj.), (n.) ",ɪˈkwɪvələnt/ ইকুইভ্যালেন্ট/ ih-kwiv-uh-luhnt,"Equal in value, amount, function, meaning, etc.",সমতুল্য,One dollar is roughly equivalent to 80 taka.,A glowing golden scale balancing a dollar and a coin perfectly,"rough equivalent, exact equivalent",
error (n.),ˈɛrə/ এরর/ er-er,A mistake,ভুল / ত্রুটি,There is a spelling error in this word.,A glowing red cross over a misspelled word,"human error, fatal error",
