Word/Phrase,Type,Category ,Sub-Category ,Pronunciation,Definition,Bangla meaning,Example Sentence,ai prompt,Collocations,Synonym,Antonym
armed,(adj.),Health body & wellbeing,The human body,ɑːmd/ আর্মড/ ahrmd,Equipped with or carrying a weapon or weapons,সশস্ত্র,The suspect was heavily armed.,A medieval knight wearing full shining armor holding a sturdy shield,"heavily armed, armed conflict, armed robbery","equipped, weaponized, carrying weapons","unarmed, defenceless"
arms,(n.),Health body & wellbeing,The human body,ɑːmz/ আর্মস/ ahrmz,Weapons and ammunition; armaments,অস্ত্রশস্ত্র,They supplied arms to the rebels.,"A glowing crest composed of crossed swords and a shield, epic style","take up arms, bear arms, supply arms","weapons, firearms, limbs, weaponry",
beard,(n.),Health body & wellbeing,The human body,bɪəd/ বিয়ার্ড/ beerd,A growth of hair on the chin and lower cheeks of a man's face,দাড়ি,He has a thick brown beard.,"A stylized outline of a thick, well-groomed men's beard","grow a beard, thick beard, shave a beard","facial hair, stubble, whiskers",
blood,(n.),Health body & wellbeing,The human body,blʌd/ ব্লাড/ bluhd,The red liquid that circulates in the arteries and veins,রক্ত,He lost a lot of blood in the accident.,"A single deep red droplet falling, highly detailed macro shot","blood pressure, donate blood, lose blood","gore, fluid, life force, lineage",
bone,(n.),Health body & wellbeing,The human body,boʊn/ বোন/ bohn,"Any of the pieces of hard, whitish tissue making up the skeleton",হাড়,The dog was chewing on a large bone.,A stark white animal bone resting on dark dry soil,"broken bone, to the bone, bone marrow","skeleton, calcium, framework, structure",
brain,(n.),Health body & wellbeing,The human body,breɪn/ ব্রেইন/ breyn,An organ of soft nervous tissue contained in the skull of vertebrates,মস্তিষ্ক,The human brain is very complex.,A highly glowing futuristic network of neurons in the shape of a brain,"human brain, brain damage, use your brain","mind, intellect, cerebrum, head",
breast,(n.),Health body & wellbeing,The human body,brɛst/ ব্রেস্ট/ brest,"Either of the two soft, protruding organs on the upper front of a woman's body; the chest",বুক / স্তন,She held the baby to her breast.,"A glowing anatomical outline of a strong human chest, medical style","breast cancer, chicken breast, beat one's breast","chest, bosom, chest area",
flesh,(n.),Health body & wellbeing,The human body,flɛʃ/ ফ্লেশ/ flesh,The soft substance consisting of muscle and fat that is found between the skin and bones of an animal or a human,মাংস / শরীর,The tiger tore at the flesh of its prey.,A detailed anatomical drawing of human muscle tissue,"flesh and blood, rotting flesh","skin, body tissue, meat, muscle",
foot,(n.),Health body & wellbeing,The human body,fʊt/ ফুট/ fʊt,The lower extremity of the leg below the ankle,পায়ের পাতা / ফুট,My right foot hurts.,A bare human footprint clearly pressed into soft sand,"on foot, bare foot","base, sole, lower part, paw","head, top"
hand,"(n.), (v.)",Health body & wellbeing,The human body,hænd/ হ্যান্ড/ hand,The end part of a person's arm beyond the wrist,হাত / হাতে তুলে দেওয়া,She raised her hand to ask a question.,An open human hand reaching upwards towards a glowing light,"shake hands, raise your hand","palm, pass, give, deliver",
height,(n.),Health body & wellbeing,The human body,haɪt/ হাইট/ hahyt,The measurement from base to top or (of a standing person) from head to foot,উচ্চতা,He is of average height.,A tall tape measure unfurled straight upwards alongside a standing boy,"average height, great height","altitude, elevation, tallness, stature","depth, width"
heart,(n.),Health body & wellbeing,The human body,hɑːt/ হার্ট/ hahrt,A hollow muscular organ that pumps the blood through the circulatory system by rhythmic contraction and dilation,হৃদয়,Her heart was beating fast.,"A glowing, anatomically correct human heart pulsing with red light","heart attack, broken heart","organ, centre, core, emotion",
head,"(n.), (v.)",Health body & wellbeing,The human body,hɛd/ হেড/ hed,"The upper part of the human body, or the front or upper part of the body of an animal",মাথা / প্রধান,She nodded her head.,A glowing digital scan outlining a human brain inside a head,"head office, nod your head","top, chief, mind, skull","tail, foot"
hair,(n.),Health body & wellbeing,The human body,hɛə/ হেয়ার/ hair,"Any of the fine threadlike strands growing from the skin of humans, mammals, and some other animals",চুল,She has long black hair.,A smooth lock of shiny black hair blowing in the wind,"long hair, wash your hair","locks, strands, mane, tresses",
hip,(n.),Health body & wellbeing,The human body,hɪp/ হিপ/ hip,A projection of the pelvis and upper thigh bone on each side of the body in human beings and quadrupeds,কোমর,She stood with her hands on her hips.,"A person standing proudly, resting both hands firmly on their sides","hands on hips, hip joint","pelvis, side, flank",
leg,(n.),Health body & wellbeing,The human body,lɛɡ/ লেগ/ leg,Each of the limbs on which a person or animal walks and stands.,পা,My leg hurts after running.,A runner's muscular leg in athletic gear taking a strong stride on a track.,"broken leg, back leg","limb, lower limb, shank",
lip,(n.),Health body & wellbeing,The human body,lɪp/ লিপ/ lip,Either of the two fleshy parts which form the upper and lower edges of the opening of the mouth.,ঠোঁট,She bit her lower lip nervously.,A close up photo of a person applying glossy red lipstick to their lips.,"upper lip, bite your lip","mouth edge, rim, edge",
lung,(n.),Health body & wellbeing,The human body,lʌŋ/ লাং/ luhng,"Each of the pair of organs situated within the ribcage, consisting of elastic sacs with branching passages into which air is drawn.",ফুসফুস,Smoking is bad for your lungs.,"A clear medical illustration of a pair of healthy, pink human lungs.","lung cancer, healthy lung","respiratory organ, breathing organ",
neck,(n.),Health body & wellbeing,The human body,nɛk/ নেক/ nek,The part of a person's or animal's body connecting the head to the rest of the body.,ঘাড় / গলা,She wore a gold necklace around her neck.,An elegant gold necklace resting gracefully on a person's neck.,"broken neck, stiff neck","throat, nape, collar",
nerve,(n.),Health body & wellbeing,The human body,nɜːv/ নার্ভ/ nurv,A whitish fiber or bundle of fibers that transmits impulses of sensation to the brain or spinal cord.,স্নায়ু,He suffered damage to the optic nerve.,"A glowing, highly detailed diagram of human neural pathways lighting up.","hit a nerve, lose your nerve","courage, boldness, fibre, audacity",
knee,(n.),Health body & wellbeing,The human body,niː/ নি/ nee,The joint between the thigh and the lower leg in humans.,হাঁটু,He scraped his knee falling off his bike.,A close up illustration of a human knee joint glowing slightly to show its structure.,"on your knees, knee injury","joint, kneecap, bend",
wrist,(n.),Health body & wellbeing,The human body,rɪst/ রিস্ট/ rist,The joint connecting the hand with the forearm,কবজি,She wore a watch on her left wrist.,A close up of a glowing wrist joint moving back and forth,"break a wrist, flick of the wrist","joint, hand joint, lower arm",
cell,(n.),Health body & wellbeing,The human body,sɛl/ সেল/ sel,A small room in which a prisoner is locked up; the smallest structural and functional unit of an organism,কক্ষ / কোষ,The prisoner was in his cell.,A microscopic glowing biological cell dividing,"prison cell, red blood cell, stem cell","unit, room, organism, compartment",
skin,(n.),Health body & wellbeing,The human body,skɪn/ স্কিন/ skin,The thin layer of tissue forming the natural outer covering of the body of a person or animal.,ত্বক / চামড়া,She has very sensitive skin.,"A close-up of healthy, glowing human skin.","dry skin, pale skin","hide, complexion, surface, coat",
